mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,genrenm,openrun,prfstate
PF242428,"제27회 크리틱스초이스댄스페스티벌, 정희은: 연지 & 권미정: 먹이",2024.07.17,2024.07.18,아르코예술극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242428_240607_103051.jpg,무용,N,공연예정
PF242426,기억의 숲,2024.06.08,2024.07.31,지즐소극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242426_240607_102454.gif,연극,Y,공연중
PF242420,연남장 캬바레: SONG FOR MEE,2024.07.06,2024.07.27,연남장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242420_240607_101214.gif,뮤지컬,N,공연중
PF242396,사의찬미 [대학로],2024.07.02,2024.09.22,링크아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242396_240605_135503.jpg,뮤지컬,N,공연중
PF242395,박열 [대학로],2024.07.16,2024.09.29,링크아트센터드림,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242395_240605_134104.gif,뮤지컬,N,공연중
PF242353,안녕! B612: 어린왕자,2024.07.04,2024.07.21,한국콘텐츠진흥원 CKL스테이지,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242353_240605_105232.gif,뮤지컬,N,공연중
PF242321,"극단 가탄 10주년 기념공연, 가족의 탄생 [대학로]",2024.07.03,2024.07.21,선돌극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242321_240605_094647.gif,연극,N,공연중
PF242220,옥천여관,2024.07.02,2024.07.20,동국대학교,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242220_240603_131624.gif,연극,N,공연중
PF242164,ARTISTLIVE FESTIVAL IN SEOUL,2024.07.13,2024.08.17,서울숲 스튜디오301,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242164_240603_100057.jpg,서양음악(클래식),N,공연중
PF242149,"예술의 전당 어린이 가족 페스티벌, 네모의 세상",2024.07.12,2024.07.21,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF242149_240531_135915.gif,뮤지컬,N,공연중
PF242116,"M 연극시리즈 1, 세상친구",2024.07.05,2024.08.11,마포아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242116_240531_110051.gif,연극,N,공연중
PF242054,"윤성 단독 콘서트, 미소",2024.06.18,2024.08.27,JTN 아트홀(구. 대학로예술마당),http://www.kopis.or.kr/upload/pfmPoster/PF_PF242054_240530_133623.gif,대중음악,N,공연중
PF242052,베르사유의 장미,2024.07.16,2024.10.13,충무아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242052_240530_132555.gif,뮤지컬,N,공연중
PF241963,"여우락 페스티벌, 윤은화: 페이브 (PAVE)",2024.07.17,2024.07.17,국립극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241963_240529_151050.png,한국음악(국악),N,공연예정
