,공고 제목,기업 이름,도메인,기업 규모,사원수,설립 연도,요구 경력,요구 학력,스킬,고용 형태,급여,지역
189,[에이오팜] 데이터분석팀 데이터툴 개발(코딩) 담당 팀원 채용,㈜에이오팜,컴퓨터프로그래밍서비스업,중소기업 (비상장),명시되어있지않음,2021년(4년차),신입·경력 (1년이상) 신입~7년미만,대졸이상,"Python,PyQt,GUIlIbrary",정규직수습3개월,회사내규에따름 -면접후결정,"경기도성남시분당구 ,성남시수정구 ,성남시중원구 ,용인시기흥구"
190,[에이오팜] SW개발팀 컴퓨터비전 기술개발&적용 담당 팀원 채용,㈜에이오팜,컴퓨터프로그래밍서비스업,중소기업 (비상장),명시되어있지않음,2021년(4년차),경력 (3년이상) 3년이상~7년미만,대졸이상,"C++,Python",정규직,회사내규에따름 -면접후결정,"경기도성남시분당구 ,용인시기흥구 ,성남시수정구 ,성남시중원구"
191,스플렁크(Splunk) 엔지니어 경력채용(상주근무),㈜리눅스데이타시스템,응용소프트웨어개발및공급업,중소기업 (비상장),43명,2002년(23년차),경력 (3년이상),학력무관,명시되어있지않음,정규직,회사내규에따름 -면접후결정,서울시강남구
192,MongoDB 엔지니어/DBA 모집,시앤지원,컴퓨터·하드웨어·장비,중소기업 (비상장),25명,2003년(22년차),경력 (3년이상),초대졸이상(졸업예정자가능),"MongoDB,NoSQL",정규직,회사내규에따름 -면접후결정,서울시강남구
193,솔루션 엔지니어(신입),밀버스,솔루션·SI·CRM·ERP,중소기업 (비상장),65명,2009년(16년차),신입,대졸이상(졸업예정자가능),"API,Salesforce,Apex",인턴근무기간3개월 정규직전환가능,회사내규에따름 -면접후결정,서울시강남구
194,데이터 사이언티스트 - AI 개발자 모집,㈜이빗,솔루션·SI·CRM·ERP,벤처기업 (-),명시되어있지않음,명시되어있지않음,경력무관,대졸이상,Python,정규직수습3개월,"연봉6,000만원이상 -면접후결정",서울시강남구
195,Data Scientist 신입/경력 채용,㈜카비,솔루션·SI·CRM·ERP,벤처기업 (비상장),30명,2010년(15년차),경력무관,대학원(석사)이상,"AWS,MySQL,Python,R,SQL",정규직수습3개월,회사내규에따름 -면접후결정,서울시금천구
196,[슈프리마] BioSign 알고리즘 개발자,슈프리마,유선통신장비제조업,중소기업 (코스닥),210명,2015년(10년차),경력 (1년이상),대학원(석사)이상,"C,C++",정규직수습3개월,회사내규에따름,경기도성남시분당구
197,클라우드 관제 (엔지니어) 운영 채용,디딤365㈜,응용소프트웨어개발및공급업,중소기업 (-),195명,2005년(20년차),경력 (1년이상),초대졸이상,"Python,Window,Linux",정규직수습3개월,회사내규에따름 -면접후결정,서울시금천구
198,Artificial Intelligence Researcher,㈜휴런,응용소프트웨어개발및공급업,중소기업 (비상장),57명,2017년(8년차),경력 (1년이상),대졸이상,명시되어있지않음,정규직수습3개월,"연봉4,000만원이상 -면접후결정",서울시영등포구
199,[경력] 서비스 개발자 / 서비스 기획자 채용,㈜알에스엔,솔루션·SI·CRM·ERP,중소기업 (비상장),180명,2004년(21년차),경력 (3년이상),초대졸이상,"AWS,Docker,Git,JAVA,kubernetes,Linux,SpringFramework,UI/UX,F/E,B/E",정규직,회사내규에따름 -면접후결정,경기도고양시일산서구
