mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,prfcast,prfcrew,prfruntime,prfage,entrpsnm,pcseguidance,poster,sty,genrenm,openrun,prfstate,mt10id,dtguidance,styurls
PF238514,베어 더 뮤지컬,2024.05.22,2024.08.25,두산아트센터 (연강홀),"박정원, 임재윤, 윤석호, 홍기범, 한서원, 최재웅, 김재한 등","박진희, 이재준, 김윤영 등",2시간 45분,만 15세 이상,(주)쇼플레이,"R석 88,000원, S석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF238514_240402_114030.gif, ,뮤지컬,N,공연중,FC000402,"화요일(19:30), 수요일(15:00,19:30), 목요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,18:30), HOL(14:00,18:30)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF238514_240402_1140301.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF238514_240402_1140300.jpg']"
PF238513,케이킥 태권쇼,2024.04.08,2025.04.30,명보아트홀 (라온홀(3F)), , ,1시간,만 4세 이상, ,"VIP석 50,000원, R석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF238513_240402_113514.gif, ,복합,Y,공연중,FC000883,"월요일 ~ 금요일(14:00,17:00,20:00), 토요일 ~ 일요일(14:00,17:00,20:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF238513_240402_1135140.png']
PF238280,6시 퇴근 [대학로],2024.05.17,2024.08.11,SH아트홀 (SH아트홀),"이승현, 박시환, 이태이, 한서윤, 박가은, 오승희, 허규 등","우영목, 유환웅, 김가람 등",1시간 50분,만 13세 이상,웰컴퍼니(Welcome Funny),"R석 66,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF238280_240328_140834.gif, ,뮤지컬,N,공연중,FC001384,"화요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF238280_240703_0201011.jpg']
PF238272,두잇아카펠라 금토공연,2024.04.05,2024.07.26,두잇아카펠라 Abar (두잇아카펠라 Abar), , ,1시간 30분,전체 관람가, ,"전석 16,500원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF238272_240328_134731.jpg,"[공연소개]

국내 최초, 국내 유일의 아카펠라 라이브 바 <두잇아카펠라>

대한민국 아카펠라의 메카 두잇아카펠라는 공연 예술의 중심지 혜화동에 위치하고 있습니다.

매주 금요일, 토요일 선보이는 다양한 아카펠라 공연을 관람해보세요.
눈앞에서 펼쳐지는 목소리의 향연! 오직 두잇아카펠라 금토공연에서만 만나보실 수 있습니다.",대중음악,Y,공연중,FC002174,"금요일(20:00), 토요일(20:00), HOL(20:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF238272_240328_0147310.jpg']
PF237983,옹알스 [대학로],2024.05.01,2024.08.31,세우아트센터 (1관),"조수원, 조준우, 채경선, 최기섭, 하박, 이경섭, 최진영", ,1시간 10분,만 5세 이상, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF237983_240325_123904.gif, ,뮤지컬,Y,공연중,FC000794,"월요일(13:00,15:00), 수요일(13:00,15:00), 금요일(19:30), 토요일(11:00,13:00,15:00,15:30,17:00), 일요일(11:00,13:00,14:00,15:00,17:00), HOL(13:00,15:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF237983_240614_1032101.jpg']
PF237783,남산골 한옥콘서트: 우주,2024.04.04,2024.10.04,남산골한옥마을 (민씨가옥),"이희문, 이상경, 손민주, 김하경, 황민왕, 유태평양, 김소라 등", ,1시간,만 7세 이상, ,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF237783_240320_125543.gif, ,한국음악(국악),N,공연중,FC000568,목요일 ~ 금요일(19:30),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF237783_240320_1255430.jpg']
PF237488,책 속에 갇힌 고양이,2024.03.30,2024.08.31,명륜아트홀 (명륜아트홀),"임미영, 정유정, 전주희, 조선영, 인자혜, 박진영","서은영, 유주애, 김은지 등",50분,24개월 이상, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF237488_240315_140610.jpg, ,뮤지컬,Y,공연중,FC003682,토요일(12:00),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF237488_240315_0206101.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF237488_240315_0206100.jpg']"
PF237479,페인터즈 [경향아트힐],2024.03.25,2024.08.31,경향아트힐 (1관), , ,1시간 15분,전체 관람가, ,"VIP석 70,000원, R석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF237479_240315_133619.jpg, ,뮤지컬,Y,공연중,FC000198,"월요일 ~ 금요일(17:00,20:00), 토요일 ~ 일요일(17:00,20:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF237479_240621_1030291.jpg']
PF237285,드립소년단,2024.04.04,2024.08.08,한성아트홀(구. 인켈아트홀) (2관), , ,1시간 30분,전체 관람가, ,"전석 35,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF237285_240401_125621.gif, ,연극,Y,공연중,FC000152,"목요일(17:00), 금요일(11:30,14:00,19:30), 토요일 ~ 일요일(13:00,15:00), HOL(15:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF237285_240327_1206121.jpg']
PF237166,더블플롯: 검은손님 & 돗가비사냥,2024.03.12,2024.07.21,VERY(베리컴퍼니) (1관),"박일곤, 이기창", ,1시간 40분,만 14세 이상,베리컴퍼니,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF237166_240610_154451.gif, ,연극,N,공연중,FC001845,"화요일 ~ 금요일(20:00), 토요일 ~ 일요일(19:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF237166_240312_1004240.jpg']
