mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,prfcast,prfcrew,prfruntime,prfage,entrpsnm,pcseguidance,poster,sty,genrenm,openrun,prfstate,mt10id,dtguidance,styurls
PF231084,망원동 브라더스 [대학로],2024.01.05,2024.07.31,유니플렉스 (3관(소극장)),"이호준, 정지환, 문재웅, 신정만, 맹상열, 김현, 황원상 등","황기현, 홍현우, 김은지 등",1시간 30분,만 11세 이상,극단 지우,"전석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF231084_240709_113452.gif, ,연극,Y,공연중,FC001233,"수요일 ~ 금요일(19:30), 토요일(14:00,17:00), 일요일(14:00,17:00), HOL(14:00,15:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF231084_240709_1134521.jpg']
PF231023,재즈소사이어티서울 재즈공연,2023.06.07,2025.01.31,재즈소사이어티 서울(서울브루어리 성수 5층) (재즈소사이어티 서울(서울브루어리 성수 5층)),"송하철, 전용준, 신동하, 임주찬, 송남현", ,1시간 40분,만 19세 이상, ,"VIP석 39,000원, 전석 15,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF231023_231127_180308.png, ,대중음악,Y,공연중,FC003741,"수요일 ~ 금요일(20:30), 토요일(20:30), HOL(20:30), 일요일(16:00)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF231023_231127_0601573.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF231023_231127_0601572.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF231023_231127_0601571.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF231023_231127_0601570.jpg']"
PF230982,오렌지 스카이 [대학로],2023.12.21,2024.07.28,달밤엔씨어터 (달밤엔씨어터),"강현구, 허정호, 조윤진, 이시영, 임호성, 김성환, 박송연 등", ,1시간 30분,만 13세 이상,달밤엔컴퍼니(달밤N컴퍼니),"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF230982_231127_162516.jpg, ,연극,Y,공연중,FC001884,"목요일 ~ 금요일(19:30), 토요일(17:00), 일요일(17:00,19:00), HOL(17:00,19:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF230982_231127_0425160.jpg']
PF229985,천로역정,2023.12.09,2024.08.31,명륜아트홀 (명륜아트홀),"임미영, 이나영, 서태경, 김지혜, 김성호, 박상하, 박민규 등","이수함, 김은지, 김창대 등",1시간 40분,만 9세 이상,조이피플,"전석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF229985_240429_095219.gif, ,뮤지컬,Y,공연중,FC003682,"월요일(19:30), 목요일(19:30), 토요일(15:00,18:00), 일요일(17:00), HOL(15:00,17:00,18:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF229985_240429_0952191.jpg']
PF228793,사랑에 빠지기까지 D-100,2023.11.17,2024.08.31,"아루또소극장(구. 소담소극장, 구. 코메디컬센터) (아루또소극장(구. 소담소극장, 구. 코메디컬센터))","함요한, 김세나, 이승복, 오세영, 서동은, 고민지, 고명진 등", ,1시간 40분,만 13세 이상, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF228793_240617_101257.gif, ,연극,Y,공연중,FC001379,"월요일 ~ 금요일(17:00), 토요일(14:30,17:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF228793_240617_1012571.jpg']
PF226333,언제는 행복하지 않은 순간이 있었나요 (언행순) [서울],2023.09.02,2024.08.15,엠스테이지(구.인사아트홀) (엠스테이지(구.인사아트홀)),"추연제, 이리건, 이경현, 안희진, 이채원, 홍수현, 박주연 등","김인성, 강다희, 이하연 등",2시간,전체 관람가, ,"전석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF226333_230920_161919.jpeg, ,뮤지컬,Y,공연중,FC001535,"화요일 ~ 금요일(19:00), 토요일(15:00,19:00), 일요일(14:00), HOL(14:00,15:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF226333_230920_0419190.jpeg']
PF224650,그곳에 있었다 [대학로],2023.09.01,2024.08.31,댕로홀 (댕로홀),"강우람, 김현서, 호천, 김진현, 정지원, 조민솔","진종현, 박종훈 등",1시간 10분,만 13세 이상,위로컴퍼니,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF224650_230828_103040.jpg,"[시놉시스]

가까운 미래.
인간의 기억속으로 들어가는 것이 가능해진 현실.

그러던 어느날...
억울한 사고로 인해 부모님을 잃은 현태가
사건의 범인을 밝혀내고자
기억으로 들어가는 장치의 개발자 태준을 찾아간다.

그날의 기억. 숨겨진 진실.
어디서 본 듯 한 또 다른 여자. 해솔...

과연 세사람은 무서히 기억속에서 빠져 나올수 있을까?",연극,Y,공연중,FC001099,"월요일 ~ 금요일(20:00), 토요일(12:30,13:00), 일요일(13:00), HOL(13:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF224650_230828_1030400.jpg']
PF224137,매직 사이언스 콘서트 [대학로],2023.04.30,2024.07.28,한예극장 (한예극장),"김영신, 전우재, 조성준","김영신, 최유정, 전태훈 등",50분,24개월 이상, ,"전석 25,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF224137_230818_105814.png, ,서커스/마술,Y,공연중,FC003249,"토요일(11:30,13:30), 일요일(11:30,13:00,13:30,15:00), HOL(11:30,13:30), 목요일 ~ 금요일(11:00,13:30)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF224137_230818_1058140.png']
PF223694,미래상상마술쇼 [대학로],2023.08.19,2024.08.11,파랑새극장(구. 샘터파랑새극장) (1관), , ,1시간,전체 관람가,브이매직엔터테인먼트,"전석 25,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF223694_230811_150439.jpg, ,서커스/마술,Y,공연중,FC000221,"토요일 ~ 일요일(11:00,12:00,13:00,15:00), HOL(11:00,13:00,15:00,17:00), 월요일 ~ 금요일(11:00,14:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF223694_230810_0151040.jpg']
PF222985,셰프 [서울],2023.08.01,2024.07.30,명보아트홀 (가온홀(B3F)), , ,1시간 15분,36개월 이상, ,"VIP석 70,000원, R석 60,000원, S석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF222985_230731_110538.gif, ,뮤지컬,Y,공연중,FC000883,"월요일 ~ 목요일(16:30,19:00,19:30), 토요일(16:30,19:30), 일요일(16:30), 금요일(11:30,16:30,19:00,19:30)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF222985_230731_1105380.jpg']
PF220666,수상한 흥신소 [소극장 선물],2023.01.05,2024.08.25,소극장 선물 1관 (소극장 선물 1관),"지상록, 김중, 한지혁, 조은진, 이상희, 이윤경, 황미선 등", ,1시간 40분,만 13세 이상, ,"전석 35,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF220666_230622_112849.gif, ,연극,Y,공연중,FC003462,"수요일 ~ 금요일(15:00), 월요일 ~ 금요일(14:30), 월요일 ~ 금요일(14:30,15:00,17:00), 토요일(12:00,14:30,17:00,19:30), 일요일(13:00,15:30,18:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF220666_230622_1128490.jpg']
PF220426,죽여주는 이야기,2023.07.01,2024.10.31,지인시어터(구. 알과핵소극장) (지인시어터(구. 알과핵소극장)),"정홍재, 유혜성, 유동원, 류종현, 권도윤, 이장영, 박준용 등",이훈국,1시간 40분,만 7세 이상,스튜디오 틈,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF220426_240514_093156.gif, ,연극,Y,공연중,FC000416,"월요일(13:00,14:00,15:10,16:30,17:30,19:30), 화요일 ~ 금요일(13:00,14:00,15:10,16:30,17:00,17:30,19:30), 일요일(13:30,14:00,15:50,16:20,18:00,18:40), HOL(13:00,13:30,14:00,15:10,15:50,16:30,18:00,19:00,19:30), 토요일(12:00,13:00,14:10,15:10,16:30,17:30,19:00,19:40), 월요일 ~ 금요일(14:00,17:00,19:30), 토요일(12:00,14:10,16:30,19:00), 일요일(13:30,15:50,18:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF220426_240704_1011221.jpg']
PF219578,크리미널 시즌5 [대학로],2023.06.14,2024.08.31,봄날아트홀(구. 아리랑소극장) (2관(지하2층)),"김준영, 강진성, 김치성, 송민석, 신우혁, 김세빈, 허유나 등",김현진,1시간 30분,만 9세 이상, ,"전석 45,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF219578_230602_151657.jpg, ,연극,Y,공연중,FC000453,"월요일(17:00), 화요일(17:00), 수요일 ~ 금요일(17:00), 토요일(17:00), 일요일(16:00), HOL(17:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF219578_240708_0107251.jpg']
PF218049,최신혁의 IMAGINE,2020.06.27,2024.08.31,문엔트리 (문엔트리),최신혁, ,1시간 10분,전체 관람가, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF218049_230508_154736.jpg, ,서커스/마술,Y,공연중,FC002812,"토요일(19:00), 일요일(19:00)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF218049_230508_0347362.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF218049_230508_0347361.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF218049_230508_0347360.jpg']"
PF217305,매직쇼 블루문,2023.05.20,2024.08.17,문엔트리 (문엔트리),최민수, ,1시간,전체 관람가, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF217305_230424_133657.png, ,서커스/마술,N,공연중,FC002812,토요일 ~ 일요일(19:00),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF217305_230424_0136574.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF217305_230424_0136573.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF217305_230424_0136572.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF217305_230424_0136571.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF217305_230424_0136570.png']"
PF216819,"이머시브씨어터, 카지노",2023.04.28,2024.07.31,대학로스타시티 (카지노 전용관),"안지현, 문수민, 최지우, 안예은, 김태균, 유지현, 최민석 등","양문수, 장지영, 안지현 등",1시간 45분,만 14세 이상, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF216819_230415_031912.gif, ,연극,Y,공연중,FC000389,"화요일 ~ 금요일(20:00), 토요일 ~ 일요일(14:00,18:00), HOL(14:00,18:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF216819_230415_0319120.jpg']
PF216782,Piano Trio Concert,2023.05.06,2024.08.31,entry55 (entry55),"이재헌, 윤성희, 임대섭, 유헌석, 박진교, 최무현 등", ,55분,만 16세 이상, ,"전석 12,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF216782_240411_103837.png, ,대중음악,Y,공연중,FC003161,"토요일(15:00,15:30)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF216782_240411_1039143.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF216782_240411_1039142.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF216782_240411_1039141.png']"
PF216355,오마이갓 [전용관],2023.04.10,2024.08.31,오마이갓 전용관 (오마이갓 전용관),"강준열, 노영준, 김민준, 양혜린, 권지희, 윤하나, 한채희 등", ,1시간 30분,만 13세 이상, ,"전석 45,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF216355_230406_143822.gif, ,연극,Y,공연중,FC003396,"월요일 ~ 목요일(15:00,17:00,17:30), 금요일(15:00,16:00,17:00,18:00), 토요일(13:30,14:00,15:20,16:00,16:30,17:10,18:00,19:00,20:50), 수요일(15:00,17:00), 일요일(11:40,13:30,14:00,15:00,15:20,16:00,17:00,17:10,18:00,19:00,20:50), HOL(11:40,13:30,14:00,15:00,15:20,16:00,17:00,17:10,18:00,19:00,20:50)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF216355_240709_0949011.jpg']
PF215020,핫식스,2023.04.01,2024.08.31,도토리씨어터 (핫식스 1관),"한상효, 김석진, 조우경, 김성미, 임다미, 채다솜, 임종철 등", ,2시간,만 19세 이상, ,"전석 80,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF215020_230315_130848.gif, ,연극,Y,공연중,FC003374,"월요일(15:20,16:30,18:30,19:30), 화요일 ~ 목요일(15:20,16:30,18:30,19:30), 금요일(15:20,16:30,18:30,19:30), 토요일(13:20,14:00,16:00,16:30,16:40,19:00,19:20), 일요일(13:20,13:30,16:10,16:30,18:50,19:00,19:10), HOL(13:20,16:30,19:00,19:10)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF215020_240612_1120371.jpg']
PF214941,너의 목소리가 들려,2023.04.02,2024.08.31,도토리씨어터 (너목들 2관),"진승욱, 추세민, 조윤성, 피설아, 권혜수, 권서연, 김일강 등", ,1시간 30분,만 13세 이상, ,"전석 45,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF214941_230314_111145.gif, ,연극,Y,공연중,FC003374,"월요일(15:30,15:50,16:00,18:00), 화요일 ~ 목요일(15:30,15:50,16:00,18:00), 금요일(15:30,15:50,18:00,18:30), 토요일(13:30,13:50,15:30,15:40,16:00,17:30,17:50,18:20,19:30,21:30), 일요일(11:30,13:00,13:30,13:50,14:30,15:10,15:30,16:00,16:40,17:20,17:30,18:20,19:30,21:30), HOL(11:30,13:00,13:30,13:50,15:10,15:30,16:00,17:20,17:30,18:20,19:30,21:30)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF214941_240716_0217281.jpg']
PF214630,영재한음 (국악)회,2023.01.29,2024.12.29,남산골한옥마을 (서울남산국악당 크라운해태홀), , ,1시간,전체 관람가, ,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF214630_230308_183127.PNG, ,한국음악(국악),N,공연중,FC000568,일요일(15:00),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF214630_230308_0630532.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF214630_230308_0630531.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF214630_230308_0630530.jpg']"
PF209512,Special GIG,2023.01.28,2024.10.26,entry55 (entry55), , ,2시간 50분,만 16세 이상, ,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF209512_230109_141958.jpg, ,대중음악,Y,공연중,FC003161,"토요일(17:30,18:00,20:30,21:00), 일요일(17:30,18:00,20:30,21:00)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF209512_240715_0550475.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF209512_240715_0550474.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF209512_240715_0550473.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF209512_240715_0550472.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF209512_240715_0550471.png']"
PF201691,김종욱 찾기,2022.11.18,2024.08.31,브릭스씨어터 (구. 콘텐츠 그라운드 구. 브로드웨이아트홀 [3관]) (브릭스씨어터 (구. 콘텐츠 그라운드 구. 브로드웨이아트홀 [3관])),"김도현, 김동준, 김소정, 박수련, 정현준, 심설빈, 박준형 등", ,1시간 40분,만 7세 이상, ,"전석 45,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF201691_221108_133510.gif, ,뮤지컬,Y,공연중,FC001199,"월요일 ~ 금요일(14:00,17:00,20:00), 토요일 ~ 일요일(13:00,15:10,17:20,17:30,19:30,19:40), HOL(13:00,15:10,17:30,19:40)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF201691_221108_0135100.jpg']
PF199614,The entry to JAZZ,2022.10.07,2024.08.31,entry55 (entry55),"허예찬, 황슬기, 이영우, 박제신, 김종국, 이석현, 이동민 등", ,2시간 20분,만 16세 이상, ,"전석 15,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF199614_221007_140615.png, ,대중음악,Y,공연중,FC003161,"수요일 ~ 금요일(18:30,21:00), 토요일 ~ 일요일(17:30,18:30,20:00,21:00), HOL(17:30,18:30,20:00,21:00), 월요일(17:30,20:00), 화요일(18:30,21:00)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF199614_221007_0206151.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF199614_221007_0206150.png']"
PF195636,런던 레코드,2022.08.17,2024.07.31,엠스테이지(구.인사아트홀) (엠스테이지(구.인사아트홀)),"이주호, 강다희, 정찬영, 김세나", ,1시간 30분,전체 관람가, ,"전석 35,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF195636_220803_095831.jpg, ,뮤지컬,Y,공연중,FC001535,"화요일 ~ 금요일(19:00,19:30), 토요일(14:00,15:00,19:00), HOL(14:00,15:00), 일요일(14:00,15:00,19:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF195636_230221_1106281.jpg']
PF194359,마술 그리스신화 [송파],2022.07.06,2024.07.27,송파브이아트홀 (송파브이아트홀),"정현승, 이효진, 양지선, 문채원, 권혁창 등","조대근, 홍보라 등",2시간,48개월 이상,브이매직엔터테인먼트,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF194359_220711_114119.jpg, ,서커스/마술,Y,공연중,FC002357,"월요일 ~ 금요일(11:00,13:00,14:00,15:00,16:00), 토요일 ~ 일요일(11:00,13:00,14:00,15:00,16:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF194359_220711_1141190.jpg']
PF190780,로멘틱 홀리데이 매직쇼,2022.05.02,2024.12.31,문엔트리 (문엔트리), , ,1시간,만 15세 이상, ,"전석 100,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF190780_220510_102409.jpg, ,서커스/마술,Y,공연중,FC002812,"월요일 ~ 금요일(14:30,16:30,18:30,20:30), 토요일 ~ 일요일(13:00,15:00,17:00,19:00), HOL(14:30,16:30,18:30,20:30)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF190780_220510_1024091.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF190780_220510_1024090.jpg']"
PF188943,써니텐,2022.05.05,2024.07.31,하마씨어터(구. 가든씨어터) (하마씨어터(구. 가든씨어터)), , ,1시간 40분,만 10세 이상,하마컴퍼니,"전석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF188943_220404_124309.gif, ,뮤지컬,Y,공연중,FC001232,"월요일(19:30), 화요일(19:30,20:00), 금요일(17:00), 토요일(14:00,15:00,16:30,17:30), 일요일(15:00,16:30), HOL(14:00,15:00,16:30)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF188943_220404_1243090.jpg']
PF186819,늘근도둑이야기,2022.03.05,2024.08.31,아트포레스트 아트홀 (1관),"노진원, 전재형, 김상묵, 박철민, 태항호, 김상두, 유일한 등", ,1시간 40분,만 13세 이상,(주)나인스토리,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF186819_220216_102054.gif, ,연극,Y,공연중,FC001603,"금요일(17:00,20:00), 토요일(15:00,18:00), 일요일(14:00,17:00), HOL(14:00,17:00), 월요일(14:00,17:00), 화요일(19:30,20:00), 수요일(15:00,19:30,20:00), 목요일(20:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF186819_240711_0941331.jpg']
PF186491,VIP 매직쇼,2022.01.28,2024.12.28,문엔트리 (문엔트리), , ,40분,12개월 이상, ,"전석 150,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF186491_220207_140515.png, ,서커스/마술,Y,공연중,FC002812,"월요일 ~ 금요일(10:30,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00), 토요일 ~ 일요일(10:30,11:00,11:30,12:00,12:30,13:30,14:00,15:00), HOL(10:30,11:00,11:30,12:00,12:30,13:30,14:00,15:00), 화요일 ~ 금요일(11:30,12:30,13:00,14:00,14:30,15:00)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF186491_220207_0205151.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF186491_220207_0205150.png']"
PF186310,스위치 [아스가르드 씨어터],2022.02.11,2024.08.31,아스가르드 씨어터(구. 낙산씨어터) (아스가르드 씨어터(구. 낙산씨어터)),"이재현, 이승복, 염지인, 민경준, 오보경, 양해지, 양시아 등", ,1시간 40분,만 13세 이상,극단 아루또,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF186310_220203_105210.gif, ,연극,Y,공연중,FC002932,"월요일 ~ 금요일(13:30,15:00,15:40,17:30,17:50,20:00), 토요일 ~ 일요일(13:30,15:40,17:50,20:00), HOL(13:30,15:40,17:50,20:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF186310_240715_1241351.jpg']
PF185428,행오버,2022.01.21,2024.07.31,"정극장 (구. M시어터, 구.하모니아트홀) (정극장 (구. M시어터, 구.하모니아트홀))","정현규, 최선량, 한상민, 김민우, 강승호, 도은우, 김윤 등","정구진, 강지원, 정태훈 등",1시간 30분,만 16세 이상, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF185428_240130_171315.gif, ,연극,Y,공연중,FC001172,"월요일 ~ 금요일(15:00,17:00,19:30), 토요일(12:00,14:00,16:00,18:00,20:00), 일요일(13:00,15:00,17:00,19:00), HOL(13:00,15:00,17:00,19:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF185428_240613_0217251.jpg']
PF185308,두들팝 [서울],2022.01.22,2024.08.31,신한카드 SOL페이 스퀘어(구.신한pLay 스퀘어) (드림홀), , ,50분,36개월 이상, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF185308_240226_095326.gif, ,뮤지컬,Y,공연중,FC000847,"화요일 ~ 금요일(11:00,14:00,16:00), 토요일 ~ 일요일(10:30,11:00,12:30,14:00,14:30,16:00,16:30), HOL(10:30,11:00,12:30,14:00,14:30,16:00,16:30)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF185308_211230_1112081.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF185308_211230_1112070.jpg']"
PF183513,스크루테이프의 편지,2022.01.01,2024.08.31,북촌나래홀 (북촌나래홀), , ,1시간 20분,만 8세 이상, ,"전석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF183513_211122_133407.gif, ,뮤지컬,Y,공연중,FC000558,"금요일(19:30), 토요일(13:00,15:00), HOL(13:00,15:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF183513_240502_0324501.jpg']
PF178635,장수탕 선녀님 [서울숲],2021.09.16,2024.08.04,더 서울라이티움 (갤러리아포레) (G층 전용관), ,"정준, 조한나, 홍승희 등",1시간,12개월 이상,할리퀸크리에이션즈(주),"전석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF178635_210820_102721.gif, ,뮤지컬,Y,공연중,FC002012,"월요일 ~ 금요일(11:00,14:00,16:00), 토요일 ~ 일요일(11:00,14:00,16:00), HOL(11:00,14:00,16:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF178635_210820_1027210.jpg']
PF178134,반짝반짝 인어공주,2021.08.21,2024.07.28,달밤엔씨어터 (달밤엔씨어터), , ,50분,전체 관람가, ,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF178134_210809_125033.PNG,"[시놉시스]

아름답고 평화로운 바닷속 왕국에는 여섯 인어공주가 있었어요.
그 중 가장 아름다운 막내공주는 열다섯살이 되어 땅의 세상을 구경할 수 있게 되었죠.
인어공주는 땅의 사람인 왕자에게 사랑을 느끼고, 사람이 되고 싶어 바다의 마녀를 찾아갑니다.
마녀는 그 조건으로 인어공주의 아름다운 목소리를 달라고 합니다.
게다가 사랑하는 사람과의 사랑이 이루어지지 않는다면 물거품이 되어 영원히 사라지게 된다고 말합니다.
하지만  인어공주는 사랑을 위해 사람이 되기로 하는데......
인어공주의 아름답고 가슴 시린 사랑이야기.. 인어공주는 행복해질 수 있을까요?",뮤지컬,Y,공연중,FC001884,"토요일 ~ 일요일(14:00), HOL(14:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF178134_210809_1250330.jpg']
PF173894,프리즌 [H씨어터],2021.05.01,2024.07.31,에이치씨어터 (익스트림씨어터 2관),"김선오, 이창한, 홍차민, 원주, 이상윤, 황수빈, 조웅희 등", ,1시간 30분,만 7세 이상, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF173894_240522_105343.gif, ,뮤지컬,Y,공연중,FC001804,"수요일 ~ 금요일(19:30), 토요일 ~ 일요일(13:00,14:00,15:00,16:00,16:30,17:00,19:00,20:00), HOL(13:00,14:00,15:00,16:30,17:00,18:00,20:00), 수요일(16:00,19:00,19:30), 목요일(16:00,19:00,19:30), 금요일(14:00,16:00,19:30), 월요일(13:30,16:00,19:30), 화요일(16:00,19:30)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF173894_240522_1053431.jpg']
PF173180,운빨로맨스 [컬쳐씨어터],2021.05.01,2024.07.31,컬쳐씨어터(구. 휴먼시어터) (컬쳐씨어터(구. 휴먼시어터)),"서동현, 정태영, 최성환, 김미진, 나서경, 이승민, 이인규 등","이치우, 송시현, 노희순 등",1시간 30분,만 13세 이상,"(주)DPS컴퍼니(DPS Company), 컬처마인","전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF173180_240510_093731.jpg, ,연극,Y,공연중,FC001207,"월요일(14:30,17:00), 화요일(14:30,17:00), 금요일(14:30,17:00,19:30), 토요일(11:30,11:50,13:40,14:00,15:50,16:10,18:00,18:20,20:10,20:30), 일요일(11:30,11:50,13:40,14:00,15:50,16:10,18:00,18:20,20:30), 수요일(14:30,17:00,19:30), 목요일(14:30,17:00), HOL(11:50,14:00,16:10,18:20,20:30)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF173180_240613_0230401.jpg']
PF172538,한뼘사이 [라온아트홀],2021.03.19,2024.08.31,라온아트홀 (라온아트홀),"윤주희, 문서우, 박다은, 민유리, 박선영, 양동율, 김도연 등",노푸름,1시간 40분,만 7세 이상,극단 파릇,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF172538_210318_095642.jpg, ,연극,Y,공연중,FC002760,"월요일(13:00,15:00,15:10,17:20,19:30), 토요일(11:50,14:00,16:10,18:20,20:30), 일요일(13:00,15:10,17:20,19:30), HOL(13:00,15:10,17:20,19:30), 화요일(15:00,17:20,19:30), 수요일(15:00,17:20,19:30), 목요일(15:00,17:20,19:30), 금요일(15:00,17:20,19:30), HOL(13:00,15:10,17:20,19:30)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF172538_240611_0225112.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF172538_240611_0225111.png']"
PF170941,연극라면,2021.01.14,2024.08.31,해피씨어터 (해피씨어터),"김기정, 이주훈, 강종현, 최창빈, 설윤희, 홍리나, 박혜선 등",김두환,1시간 40분,만 11세 이상,(주)엠컬쳐컴퍼니,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF170941_210106_102633.gif, ,연극,Y,공연중,FC001303,"월요일 ~ 금요일(12:45,14:30,14:50,16:45,16:55,19:00), 토요일(12:00,14:05,16:10,18:15,20:20), 일요일(12:45,14:50,16:55,19:00), HOL(12:00,12:45,14:05,14:50,16:10,16:55,18:15,19:00,20:20)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF170941_240610_1036131.jpg']
